ID,IATA,ICAO,name
477,,EGBW,Wellesbourne Mountford Airport
478,MAN,EGCC,Manchester Airport
479,,EGCD,Manchester Woodford Airport
480,,EGDC,Royal Marines Base Chivenor Airport
481,NQY,EGHQ,Newquay Cornwall Airport
482,LYE,EGDL,RAF Lyneham
483,,EGDM,MoD Boscombe Down Airport
484,,EGDR,RNAS Culdrose
485,,EGDX,MoD St. Athan
486,YEO,EGDY,RNAS Yeovilton
487,HAW,EGFE,Haverfordwest Airport
488,CWL,EGFF,Cardiff International Airport
489,SWS,EGFH,Swansea Airport
490,BRS,EGGD,Bristol Airport
491,LPL,EGGP,Liverpool John Lennon Airport
492,LTN,EGGW,London Luton Airport
493,PLH,EGHD,Plymouth City Airport
494,BOH,EGHH,Bournemouth Airport
495,SOU,EGHI,Southampton Airport
496,QLA,EGHL,Lasham Airport
497,ACI,EGJA,Alderney Airport
498,GCI,EGJB,Guernsey Airport
499,JER,EGJJ,Jersey Airport
500,ESH,EGKA,Shoreham Airport
501,BQH,EGKB,London Biggin Hill Airport
502,LGW,EGKK,London Gatwick Airport
503,LCY,EGLC,London City Airport
504,FAB,EGLF,Farnborough Airport
505,,EGLJ,Chalgrove Airport
506,BBS,EGLK,Blackbushe Airport
507,LHR,EGLL,London Heathrow Airport
508,SEN,EGMC,Southend Airport
509,LYX,EGMD,Lydd Airport
510,MSE,EGMH,Kent International Airport
511,,EGNB,Brough Airport
512,CAX,EGNC,Carlisle Airport
513,,EGNE,Retford Gamston Airport
514,BLK,EGNH,Blackpool International Airport
515,HUY,EGNJ,Humberside Airport
516,BWF,EGNL,Barrow Walney Island Airport
517,LBA,EGNM,Leeds Bradford Airport
518,WRT,EGNO,Warton Airport
519,CEG,EGNR,Hawarden Airport
520,IOM,EGNS,Isle of Man Airport
521,NCL,EGNT,Newcastle Airport
522,MME,EGNV,Durham Tees Valley Airport
523,EMA,EGNX,East Midlands Airport
524,,EGOD,Llanbedr Airport
525,,EGOE,RAF Ternhill
526,,EGOS,RAF Shawbury
528,,EGOW,RAF Woodvale
529,KOI,EGPA,Kirkwall Airport
530,LSI,EGPB,Sumburgh Airport
531,WIC,EGPC,Wick Airport
532,ABZ,EGPD,Aberdeen Dyce Airport
533,INV,EGPE,Inverness Airport
534,GLA,EGPF,Glasgow International Airport
535,EDI,EGPH,Edinburgh Airport
536,ILY,EGPI,Islay Airport
537,PIK,EGPK,Glasgow Prestwick Airport
538,BEB,EGPL,Benbecula Airport
539,SCS,EGPM,Scatsta Airport
540,DND,EGPN,Dundee Airport
541,SYY,EGPO,Stornoway Airport
542,TRE,EGPU,Tiree Airport
543,ADX,EGQL,RAF Leuchars
544,LMO,EGQS,RAF Lossiemouth
545,CBG,EGSC,Cambridge Airport
546,,EGSF,Peterborough Business Airport
547,NWI,EGSH,Norwich International Airport
548,STN,EGSS,London Stansted Airport
549,,EGSX,North Weald Airport
550,,EGSY,Sheffield City Heliport
551,,EGTC,Cranfield Airport
552,EXT,EGTE,Exeter International Airport
553,FZO,EGTG,Bristol Filton Airport
554,OXF,EGTK,Oxford (Kidlington) Airport
555,BEX,EGUB,RAF Benson
556,LKZ,EGUL,RAF Lakenheath
557,MHZ,EGUN,RAF Mildenhall
558,,EGUW,RAF Wattisham
559,QUY,EGUY,RAF Wyton
560,FFD,EGVA,RAF Fairford
561,BZZ,EGVN,RAF Brize Norton
